duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
201178,53,1,0.81,0.488,0.562,0.00194,9,0.125,-8.277999999999999,0,0.208,80.018,0.767,0
191712,10,1,0.007909999999999999,0.561,0.687,0.0225,9,0.08,-6.336,1,0.0292,128.569,0.792,0
221974,50,1,0.504,0.537,0.802,0.106,3,0.15,-7.907999999999999,1,0.03,144.976,0.537,0
348226,55,8,0.00761,0.391,0.862,0.353,9,0.104,-7.6389999999999985,1,0.045,154.72799999999995,0.327,0
336613,14,3,0.943,0.381,0.306,0.32299999999999995,1,0.125,-14.489,1,0.0303,147.87,0.156,0
308373,35,5,0.722,0.327,0.501,0.00245,9,0.113,-8.885,1,0.0434,115.199,0.377,0
229510,9,3,0.0994,0.575,0.754,0.0008359999999999999,11,0.0726,-5.997999999999998,1,0.0244,93.459,0.698,0
212800,64,3,0.303,0.5760000000000001,0.609,0,7,0.16399999999999998,-5.921,1,0.107,86.70299999999997,0.737,1
290767,28,1,0.32,0.7140000000000001,0.57,0.48,8,0.273,-6.287000000000001,0,0.0233,95.015,0.379,0
202400,46,10,3.4200000000000005e-05,0.221,0.8740000000000001,0.000272,6,0.359,-4.412,1,0.0493,191.001,0.552,0
243320,9,1,0.355,0.579,0.535,0,7,0.252,-7.746,1,0.0265,78.99,0.775,0
223866,57,5,0.458,0.509,0.448,1.07E-06,1,0.0824,-8.402999999999999,1,0.0718,158.998,0.318,1
245966,48,1,0.0859,0.6,0.882,0.000305,2,0.0501,-3.768,1,0.0485,89.961,0.8390000000000001,0
261773,63,1,0.276,0.7859999999999999,0.6859999999999999,0.6679999999999999,4,0.0416,-7.18,1,0.0289,119.997,0.542,1
256880,19,14,0.00328,0.635,0.435,6.78E-06,3,0.071,-7.521,1,0.031,76.098,0.459,0
216200,5,1,0.0203,0.417,0.726,0.055,9,0.0986,-5.9460000000000015,1,0.0291,92.834,0.63,0
260986,11,1,0.41,0.7759999999999999,0.531,0.0068200000000000005,6,0.0776,-7.06,0,0.0606,146.35399999999996,0.718,0
271186,57,2,0.113,0.591,0.746,0,11,0.151,-5.0539999999999985,1,0.0285,117.807,0.601,1
226026,5,4,0.00118,0.494,0.8320000000000001,0.004370000000000001,4,0.18,-4.298,1,0.0373,179.97400000000005,0.767,0
168760,63,1,0.217,0.539,0.836,0.000168,11,0.303,-5.365,1,0.0654,135.596,0.759,1
274200,64,2,0.546,0.35200000000000004,0.45,0.127,5,0.28300000000000003,-9.881,1,0.0293,86.93700000000003,0.114,1
188720,6,1,0.857,0.511,0.446,0,3,0.118,-9.403,1,0.0356,84.338,0.598,0
236292,5,1,0.006409999999999999,0.217,0.7120000000000001,0,1,0.0947,-7.581,1,0.035,87.773,0.231,0
253439,6,3,0.0818,0.731,0.675,0.168,5,0.201,-7.2879999999999985,1,0.0412,125.044,0.947,0
229949,5,1,0.868,0.532,0.251,0.000183,3,0.0748,-10.481,1,0.033,129.76,0.174,0
284146,69,1,0.267,0.55,0.579,0.0289,4,0.358,-8.622,1,0.0297,120.991,0.4320000000000001,1
223438,17,1,0.235,0.605,0.615,7.69E-05,10,0.0729,-7.893,1,0.044,88.395,0.679,0
